Date,Open,High,Low,Change,Volume,Settle
2016-08-31,,,,,,95.9972
2016-08-30,,,,,,96.0468
2016-08-29,,,,,,95.5698
2016-08-26,,,,,,95.47
2016-08-25,,,,,,94.7245
2016-08-24,,,,,,94.7722
2016-08-23,,,,,,94.52
2016-08-22,,,,,,94.5385
2016-08-19,,,,,,94.4965
2016-08-18,,,,,,94.1674
2016-08-17,,,,,,94.7306
2016-08-16,,,,,,94.7956
2016-08-15,,,,,,95.6203
2016-08-12,,,,,,95.7057
2016-08-11,,,,,,95.9235
2016-08-10,,,,,,95.579
2016-08-09,,,,,,96.1244
2016-08-08,,,,,,96.3711
2016-08-05,,,,,,96.2844
2016-08-04,,,,,,95.7706
2016-08-03,,,,,,95.5457
2016-08-02,,,,,,95.1006
2016-08-01,,,,,,95.7739
2016-07-29,,,,,,95.5773
2016-07-28,,,,,,96.6851
2016-07-27,,,,,,96.7797
2016-07-26,,,,,,97.1764
2016-07-25,,,,,,97.2556
2016-07-22,,,,,,97.3525
2016-07-21,,,,,,96.9509
2016-07-20,,,,,,97.1396
2016-07-19,,,,,,97.0679
2016-07-18,,,,,,96.5432
2016-07-15,,,,,,96.6834
2016-07-14,,,,,,96.1304
2016-07-13,,,,,,96.3281
2016-07-12,,,,,,96.5023
2016-07-11,,,,,,96.552
2016-07-08,,,,,,96.2966
2016-07-07,,,,,,96.2557
2016-07-06,,,,,,96.1078
2016-07-05,,,,,,96.2265
2016-07-04,,,,,,95.5351
2016-07-01,,,,,,95.6434
2016-06-30,,,,,,95.9523
2016-06-29,,,,,,95.6508
2016-06-28,,,,,,96.0558
2016-06-27,,,,,,96.376
2016-06-24,,,,,,95.4338
2016-06-23,,,,,,93.0996
2016-06-22,,,,,,93.5419
2016-06-21,,,,,,94.0753
2016-06-20,,,,,,93.6464
2016-06-17,,,,,,94.1537
2016-06-16,,,,,,94.6069
2016-06-15,,,,,,94.6141
2016-06-14,,,,,,94.9285
2016-06-13,,,,,,94.4051
2016-06-10,,,,,,94.6582
2016-06-09,,,,,,94.0717
2016-06-08,,,,,,93.5562
2016-06-07,,,,,,93.8618
2016-06-06,,,,,,94.0093
2016-06-03,,,,,,93.922
2016-06-02,,,,,,95.5438
2016-06-01,,,,,,95.4192
2016-05-31,,,,,,95.8433
2016-05-30,,,,,,95.7204
2016-05-27,,,,,,95.7397
2016-05-26,,,,,,95.1543
2016-05-25,,,,,,95.3984
2016-05-24,,,,,,95.6008
2016-05-23,,,,,,95.2452
2016-05-20,,,,,,95.2969
2016-05-19,,,,,,95.3106
2016-05-18,,,,,,95.2093
2016-05-17,,,,,,94.567
2016-05-16,,,,,,94.571
2016-05-13,,,,,,94.6182
2016-05-12,,,,,,94.1582
2016-05-11,,,,,,93.8367
2016-05-10,,,,,,94.2679
2016-05-09,,,,,,94.1634
2016-05-06,,,,,,93.8508
2016-05-05,,,,,,93.7564
2016-05-04,,,,,,93.273
2016-05-03,,,,,,93.0785
2016-05-02,,,,,,92.6003
2016-04-29,,,,,,93.0482
2016-04-28,,,,,,93.7596
2016-04-27,,,,,,94.4011
2016-04-26,,,,,,94.5159
2016-04-25,,,,,,94.7832
2016-04-22,,,,,,95.1709
2016-04-21,,,,,,94.6545
2016-04-20,,,,,,94.1051
2016-04-19,,,,,,94.2689
2016-04-18,,,,,,94.4803
2016-04-15,,,,,,94.7024
2016-04-14,,,,,,94.9499
2016-04-13,,,,,,94.7941
2016-04-12,,,,,,94.057
2016-04-11,,,,,,94.0046
2016-04-08,,,,,,94.2108
2016-04-07,,,,,,94.5496
2016-04-06,,,,,,94.3598
2016-04-05,,,,,,94.6046
2016-04-04,,,,,,94.577
2016-04-01,,,,,,94.5626
2016-03-31,,,,,,94.6265
2016-03-30,,,,,,94.8358
2016-03-29,,,,,,95.1848
2016-03-28,,,,,,95.9561
2016-03-25,,,,,,96.2626
2016-03-24,,,,,,96.1262
2016-03-23,,,,,,96.0527
2016-03-22,,,,,,95.6749
2016-03-21,,,,,,95.41
2016-03-18,,,,,,95.0611
2016-03-17,,,,,,94.7845
2016-03-16,,,,,,95.758
2016-03-15,,,,,,96.6482
2016-03-14,,,,,,96.5835
2016-03-11,,,,,,96.2348
2016-03-10,,,,,,96.2136
2016-03-09,,,,,,97.1833
2016-03-08,,,,,,97.163
2016-03-07,,,,,,97.1161
2016-03-04,,,,,,97.2275
2016-03-03,,,,,,97.6043
2016-03-02,,,,,,98.1762
2016-03-01,,,,,,98.3554
2016-02-29,,,,,,98.2605
2016-02-26,,,,,,98.1219
2016-02-25,,,,,,97.4405
2016-02-24,,,,,,97.499
2016-02-23,,,,,,97.4569
2016-02-22,,,,,,97.3722
2016-02-19,,,,,,96.5935
2016-02-18,,,,,,96.8332
2016-02-17,,,,,,96.8551
2016-02-16,,,,,,96.8685
2016-02-15,,,,,,96.7393
2016-02-12,,,,,,95.9632
2016-02-11,,,,,,95.5874
2016-02-10,,,,,,95.8037
2016-02-09,,,,,,96.0241
2016-02-08,,,,,,96.7333
2016-02-05,,,,,,96.9685
2016-02-04,,,,,,96.5039
2016-02-03,,,,,,97.2328
2016-02-02,,,,,,98.8613
2016-02-01,,,,,,99.0293
2016-01-29,,,,,,99.5543
2016-01-28,,,,,,98.5993
2016-01-27,,,,,,98.9821
2016-01-26,,,,,,99.01
2016-01-25,,,,,,99.3048
2016-01-22,,,,,,99.5205
2016-01-21,,,,,,99.0888
2016-01-20,,,,,,99.085
2016-01-19,,,,,,99.1256
2016-01-18,,,,,,99.1181
2016-01-15,,,,,,98.9322
2016-01-14,,,,,,99.0702
2016-01-13,,,,,,98.953
2016-01-12,,,,,,98.9406
2016-01-11,,,,,,98.8441
2016-01-08,,,,,,98.3887
2016-01-07,,,,,,98.2792
2016-01-06,,,,,,99.2285
2016-01-05,,,,,,99.3847
2016-01-04,,,,,,98.8453
2016-01-01,,,,,,98.6763
2015-12-31,,,,,,98.71
2015-12-30,,,,,,98.31
2015-12-29,,,,,,98.3
2015-12-28,,,,,,98
2015-12-24,,,,,,98.02
2015-12-23,,,,,,98.4
2015-12-22,,,,,,98.23
2015-12-21,,,,,,98.46
2015-12-18,,,,,,98.73
2015-12-17,,,,,,99.17
2015-12-16,,,,,,98.42
2015-12-15,,,,,,98.22
2015-12-14,,,,,,97.72
2015-12-11,,,,,,97.57
2015-12-10,,,,,,97.94
2015-12-09,,,,,,97.34
2015-12-08,,,,,,98.42
2015-12-07,,,,,,98.73
2015-12-04,,,,,,98.33
2015-12-03,,,,,,97.84
2015-12-02,,,,,,100.06
2015-12-01,,,,,,99.85
2015-11-30,,,,,,100.27
2015-11-27,,,,,,100.05
2015-11-26,,,,,,99.87
2015-11-25,,,,,,99.81
2015-11-24,,,,,,99.71
2015-11-23,,,,,,99.79
2015-11-20,,,,,,99.67
2015-11-19,,,,,,99.06
2015-11-18,,,,,,99.65
2015-11-17,,,,,,99.71
2015-11-16,,,,,,99.48
2015-11-13,,,,,,98.95
2015-11-12,,,,,,98.61
2015-11-11,,,,,,99.05
2015-11-10,,,,,,99.23
2015-11-09,,,,,,99.14
2015-11-06,,,,,,99.27
2015-11-05,,,,,,98.09
2015-11-04,,,,,,97.99
2015-11-03,,,,,,97.27
