symbol,code,name,sector[wstock : cn : daily]
SH600000,600000,PFYH-浦发银行,--
SH600004,600004,BYJC-白云机场,--
SH600005,600005,WGGF-武钢股份,--
SH600006,600006,DFQC-东风汽车,--
SH600007,600007,ZGGM-中国国贸,--
SH600008,600008,SCGF-首创股份,--
SH600009,600009,SHJC-上海机场,--
SH600010,600010,BGGF-包钢股份,--
SH600011,600011,HNGJ-华能国际,--
SH600012,600012,WTGS-皖通高速,--
SH600015,600015,HXYH-华夏银行,--
SH600016,600016,MSYH-民生银行,--
SH600017,600017,RZG-日照港,--
SH600018,600018,SGJT-上港集团,--
SH600019,600019,BGGF-宝钢股份,--
SH600020,600020,ZYGS-中原高速,--
SH600021,600021,SHDL-上海电力,--
SH600022,600022,SDGT-山东钢铁,--
SH600023,600023,ZNDL-浙能电力,--
SH600026,600026,ZHFZ-中海发展,--
SH600027,600027,HDGJ-华电国际,--
SH600028,600028,ZGSH-中国石化,--
SH600029,600029,NFHK-南方航空,--
SH600030,600030,ZXZQ-中信证券,--
SH600031,600031,SYZG-三一重工,--
SH600033,600033,FJGS-福建高速,--
SH600035,600035,CTGS-楚天高速,--
SH600036,600036,ZSYH-招商银行,--
SH600037,600037,GHYX-歌华有线,--
SH600038,600038,ZZGF-中直股份,--
SH600039,600039,SCLQ-四川路桥,--
SH600048,600048,BLDC-保利地产,--
SH600050,600050,ZGLT-中国联通,--
SH600051,600051,NBLH-宁波联合,--
SH600052,600052,ZJGS-浙江广厦,--
SH600053,600053,ZJDC-中江地产,--
SH600054,600054,HSLY-黄山旅游,--
SH600055,600055,HRWD-华润万东,--
SH600056,600056,ZGYY-中国医药,--
SH600057,600057,XYGF-象屿股份,--
SH600058,600058,WKFZ-五矿发展,--
SH600059,600059,GYLS-古越龙山,--
SH600060,600060,HXDQ-海信电器,--
SH600061,600061,ZFTZ-中纺投资,--
SH600062,600062,HRSH-华润双鹤,--
SH600063,600063,WWGX-皖维高新,--
SH600064,600064,NJGK-南京高科,--
SH600066,600066,YTKC-宇通客车,--
SH600067,600067,GCDT-冠城大通,--
SH600068,600068,GZB-葛洲坝,--
SH600069,600069,STYG -*ST银鸽 ,--
SH600070,600070,ZJFR-浙江富润,--
SH600071,600071,STGX-*ST光学,--
SH600072,600072,STGG-*ST钢构,--
SH600073,600073,SHML-上海梅林,--
SH600074,600074,ZDGF-中达股份,--
SH600075,600075,XJTY-新疆天业,--
SH600076,600076,QNHG-青鸟华光,--
SH600077,600077,SDGF-宋都股份,--
SH600078,600078,CXGF-澄星股份,--
SH600079,600079,RFYY-人福医药,--
SH600080,600080,JHGF-金花股份,--
SH600081,600081,DFKJ-东风科技,--
SH600082,600082,HTFZ-海泰发展,--
SH600083,600083,BXGF-博信股份,--
SH600084,600084,ZPGF-中葡股份,--
SH600085,600085,TRT-同仁堂,--
SH600086,600086,DFJY-东方金钰,--
SH600088,600088,ZSCM-中视传媒,--
SH600089,600089,TBDG-特变电工,--
SH600090,600090,PJH-啤酒花,--
SH600091,600091,STMK-*ST明科,--
SH600093,600093,HJGF-禾嘉股份,--
SH600094,600094,DMC-大名城,--
SH600095,600095,HGK-哈高科,--
SH600096,600096,YTH-云天化,--
SH600097,600097,KCGJ-开创国际,--
SH600098,600098,GZFZ-广州发展,--
SH600099,600099,LHGF-林海股份,--
SH600100,600100,TFGF-同方股份,--
SH600101,600101,MXDL-明星电力,--
SH600103,600103,QSZY-青山纸业,--
SH600104,600104,SQJT-上汽集团,--
SH600105,600105,YDGF-永鼎股份,--
SH600106,600106,CQLQ-重庆路桥,--
SH600107,600107,MEY-美尔雅,--
SH600108,600108,YSJT-亚盛集团,--
SH600109,600109,GJZQ-国金证券,--
SH600110,600110,ZKYH-中科英华,--
SH600111,600111,BFXT-北方稀土,--
SH600112,600112,TCKG-天成控股,--
SH600113,600113,ZJDR-浙江东日,--
SH600114,600114,DMGF-东睦股份,--
SH600115,600115,DFHK-东方航空,--
SH600116,600116,SXSL-三峡水利,--
SH600117,600117,XNTG-西宁特钢,--
SH600118,600118,ZGWX-中国卫星,--
SH600119,600119,CJTZ-长江投资,--
SH600120,600120,ZJDF-浙江东方,--
SH600121,600121,ZZMD-郑州煤电,--
SH600122,600122,HTGK-宏图高科,--
SH600123,600123,LHKC-兰花科创,--
SH600125,600125,TLWL-铁龙物流,--
SH600126,600126,HGGF-杭钢股份,--
SH600127,600127,JJMY-金健米业,--
SH600128,600128,HYGF-弘业股份,--
SH600129,600129,TJJT-太极集团,--
SH600130,600130,BDGF-波导股份,--
SH600131,600131,MJSD-岷江水电,--
SH600132,600132,CQPJ-重庆啤酒,--
SH600133,600133,DHGX-东湖高新,--
SH600135,600135,LKJP-乐凯胶片,--
SH600136,600136,DBGF-道博股份,--
SH600137,600137,LSGF-浪莎股份,--
SH600138,600138,ZQL-中青旅,--
SH600139,600139,XBZY-西部资源,--
SH600141,600141,XFJT-兴发集团,--
SH600143,600143,JFKJ-金发科技,--
SH600145,600145,STGC-*ST国创,--
SH600146,600146,DYGF-大元股份,--
SH600148,600148,CCYD-长春一东,--
SH600149,600149,LFFZ-廊坊发展,--
SH600150,600150,ZGCB-中国船舶,--
SH600151,600151,HTJD-航天机电,--
SH600152,600152,WKJH-维科精华,--
SH600153,600153,JFGF-建发股份,--
SH600155,600155,BSGF-宝硕股份,--
SH600156,600156,HSGF-华升股份,--
SH600157,600157,YTNY-永泰能源,--
SH600158,600158,ZTCY-中体产业,--
SH600159,600159,DLDC-大龙地产,--
SH600160,600160,JHGF-巨化股份,--
SH600161,600161,TTSW-天坛生物,--
SH600162,600162,XJKG-香江控股,--
SH600163,600163,STNZ-*ST南纸,--
SH600165,600165,XRHL-新日恒力,--
SH600166,600166,FTQC-福田汽车,--
SH600167,600167,LMKG-联美控股,--
SH600168,600168,WHKG-武汉控股,--
SH600169,600169,TYZG-太原重工,--
SH600170,600170,SHJG-上海建工,--
SH600171,600171,SHBL-上海贝岭,--
SH600172,600172,HHXF-黄河旋风,--
SH600173,600173,WLDC-卧龙地产,--
SH600175,600175,MDNY-美都能源,--
SH600176,600176,ZGJS-中国巨石,--
SH600177,600177,YGE-雅戈尔,--
SH600178,600178,DADL-东安动力,--
SH600179,600179,HHGF-黑化股份,--
SH600180,600180,RMT-瑞茂通,--
SH600182,600182,SJT-S佳通,--
SH600183,600183,SYKJ-生益科技,--
SH600184,600184,GDGF-光电股份,--
SH600185,600185,GLDC-格力地产,--
SH600186,600186,LHWJ-莲花味精,--
SH600187,600187,GZSW-国中水务,--
SH600188,600188,YZMY-兖州煤业,--
SH600189,600189,JLSG-吉林森工,--
SH600190,600190,JZG-锦州港,--
SH600191,600191,HZSY-华资实业,--
SH600192,600192,CCDG-长城电工,--
