symbol,code,name,sector[wstock : cn : daily]
SZ000001,000001,PAYH-平安银行,--
SZ000002,000002,WKA-万科Ａ,--
SZ000004,000004,GNKJ-国农科技,--
SZ000005,000005,SJXY-世纪星源,--
SZ000006,000006,SZYA-深振业Ａ,--
SZ000007,000007,LQGF-零七股份,--
SZ000008,000008,BLL-宝利来,--
SZ000009,000009,ZGBA-中国宝安,--
SZ000010,000010,SHX-深华新,--
SZ000011,000011,SWYA-深物业A,--
SZ000012,000012,NBA-南玻Ａ,--
SZ000014,000014,SHGF-沙河股份,--
SZ000016,000016,SKJA-深康佳Ａ,--
SZ000017,000017,SZHA-深中华A,--
SZ000018,000018,ZGA-中冠A,--
SZ000019,000019,SSBA-深深宝Ａ,--
SZ000020,000020,SHFA-深华发Ａ,--
SZ000021,000021,CCKF-长城开发,--
SZ000022,000022,SCW-深赤湾Ａ,--
SZ000023,000023,STD-深天地Ａ,--
SZ000024,000024,ZSDC-招商地产,--
SZ000025,000025,TLA-特力Ａ,--
SZ000026,000026,FYD-飞亚达Ａ,--
SZ000027,000027,SZNY-深圳能源,--
SZ000028,000028,GYYZ-国药一致,--
SZ000029,000029,SSFA-深深房Ａ,--
SZ000030,000030,FAGF-富奥股份,--
SZ000031,000031,ZLDC-中粮地产,--
SZ000032,000032,SSDA-深桑达Ａ,--
SZ000033,000033,*STXD-*ST新都,--
SZ000034,000034,SXTF-深信泰丰,--
SZ000035,000035,ZGTZ-中国天楹,--
SZ000036,000036,HLKG-华联控股,--
SZ000037,000037,SNDA-深南电Ａ,--
SZ000038,000038,SDT-深大通,--
SZ000039,000039,ZJJT-中集集团,--
SZ000040,000040,BADC-宝安地产,--
SZ000042,000042,ZZKG-中洲控股,--
SZ000043,000043,ZHDC-中航地产,--
SZ000045,000045,SFZA-深纺织Ａ,--
SZ000046,000046,FHKG-泛海控股,--
SZ000048,000048,KDE-康达尔,--
SZ000049,000049,DSDC-德赛电池,--
SZ000050,000050,STMA-深天马Ａ,--
SZ000055,000055,FDJT-方大集团,--
SZ000056,000056,SGS-深国商,--
SZ000058,000058,SSG-深赛格,--
SZ000059,000059,HJGF-华锦股份,--
SZ000060,000060,ZJLN-中金岭南,--
SZ000061,000061,NCP-农产品,--
SZ000062,000062,SZHQ-深圳华强,--
SZ000063,000063,ZXTX-中兴通讯,--
SZ000065,000065,BFGJ-北方国际,--
SZ000066,000066,CCDN-长城电脑,--
SZ000068,000068,HKSG-华控赛格,--
SZ000069,000069,HQCA-华侨城Ａ,--
SZ000070,000070,TFXX-特发信息,--
SZ000078,000078,HWSW-海王生物,--
SZ000088,000088,YTG-盐田港,--
SZ000089,000089,SZJC-深圳机场,--
SZ000090,000090,TJJT-天健集团,--
SZ000096,000096,GJNY-广聚能源,--
SZ000099,000099,ZXHZ-中信海直,--
SZ000100,000100,TCLJT-TCL集团,--
SZ000150,000150,YHDC-宜华地产,--
SZ000151,000151,ZCGF-中成股份,--
