symbol,code[google : cn : daily]
000002,000002
000006,000006
000012,000012
000022,000022
000027,000027
000028,000028
000032,000032
000039,000039
000042,000042
000049,000049
000060,000060
000069,000069
000088,000088
000157,000157
000402,000402
000417,000417
000423,000423
000425,000425
000513,000513
000528,000528
000530,000530
000531,000531
000536,000536
000538,000538
000539,000539
000540,000540
000541,000541
000550,000550
000551,000551
000559,000559
000562,000562
000568,000568
000596,000596
000603,000603
000651,000651
000686,000686
000690,000690
000703,000703
000718,000718
000728,000728
000731,000731
000776,000776
000792,000792
000807,000807
000825,000825
000848,000848
000858,000858
000869,000869
000877,000877
000887,000887
000895,000895
000900,000900
000911,000911
000912,000912
000937,000937
000983,000983
000987,000987
000989,000989
001696,001696
002001,002001
002003,002003
002007,002007
002014,002014
002022,002022
002024,002024
002028,002028
002032,002032
600000,600000
600016,600016
600030,600030
600031,600031
600056,600056
600070,600070
600096,600096
600104,600104
600111,600111
600123,600123
600132,600132
600139,600139
600143,600143
600150,600150
600166,600166
600177,600177
600183,600183
600199,600199
600216,600216
600246,600246
600252,600252
600271,600271
600309,600309
600315,600315
600331,600331
600340,600340
600348,600348
600369,600369
600388,600388
600395,600395
600397,600397
600410,600410
600418,600418
600479,600479
600481,600481
600507,600507
600516,600516
600517,600517
600519,600519
600533,600533
600546,600546
600547,600547
600585,600585
600588,600588
600596,600596
600606,600606
600612,600612
600616,600616
600619,600619
600621,600621
600641,600641
600642,600642
600649,600649
600650,600650
600660,600660
600662,600662
600664,600664
600675,600675
600685,600685
600686,600686
600688,600688
600690,600690
600694,600694
600697,600697
600703,600703
600717,600717
600729,600729
600741,600741
600743,600743
600750,600750
600779,600779
600780,600780
600785,600785
600795,600795
600801,600801
600808,600808
600809,600809
600814,600814
600825,600825
600827,600827
600829,600829
600837,600837
600859,600859
600864,600864
600865,600865
600867,600867
600880,600880
600881,600881
600887,600887
600900,600900
600971,600971
600987,600987
