symbol,code[google : hk : daily]
0067,0067
0155,0155
0189,0189
0233,0233
0246,0246
0264,0264
0292,0292
0295,0295
0307,0307
0462,0462
0566,0566
0567,0567
0581,0581
0583,0583
0591,0591
0625,0625
0691,0691
0724,0724
0761,0761
0773,0773
0828,0828
0846,0846
0865,0865
0873,0873
0897,0897
0909,0909
0911,0911
0913,0913
0917,0917
0930,0930
0940,0940
0948,0948
0967,0967
1007,1007
1010,1010
1073,1073
1082,1082
1087,1087
1116,1116
1142,1142
1149,1149
1160,1160
1163,1163
1174,1174
1175,1175
1187,1187
1228,1228
1246,1246
1265,1265
1292,1292
1293,1293
1318,1318
1353,1353
1371,1371
1385,1385
1393,1393
1399,1399
1619,1619
1638,1638
1698,1698
1803,1803
1808,1808
1863,1863
1998,1998
2078,2078
2123,2123
2229,2229
2280,2280
2309,2309
2468,2468
2808,2808
2811,2811
2818,2818
2832,2832
2842,2842
2889,2889
2970,2970
2974,2974
3002,3002
3008,3008
3011,3011
3032,3032
3041,3041
3051,3051
3095,3095
3100,3100
3107,3107
3118,3118
3120,3120
3127,3127
3128,3128
3132,3132
3136,3136
3137,3137
3139,3139
3180,3180
3188,3188
3199,3199
3333,3333
3335,3335
3868,3868
3938,3938
4222,4222
6199,6199
6210,6210
6230,6230
8002,8002
8020,8020
8036,8036
8056,8056
8096,8096
8103,8103
8107,8107
8133,8133
8146,8146
8179,8179
8180,8180
8195,8195
8202,8202
8219,8219
8299,8299
8306,8306
83081,83081
8312,8312
8320,8320
