symbol,code,name,sector,industry,ignore[yahoo : hk : daily]
0001.HK,0001,CHEUNG KONG HOLDINGS LTD,長和,60 地產建築,603 地產發展,0
0002.HK,0002,CLP HOLDINGS LTD,中電控股,45 電力,450 電力公用,0
0003.HK,0003,HONG KONG & CHINA GAS,香港中華煤氣,00 能源,008 燃氣公用,0
0004.HK,0004,WHARF HOLDINGS LTD,九龍倉集團,80 綜合企業,800 綜合企業,0
0005.HK,0005,HSBC HOLDINGS PLC,滙豐控股,50 金融,508 銀行,0
0006.HK,0006,POWER ASSETS HOLDINGS LTD,電能實業,45 電力,450 電力公用,0
0007.HK,0007,HOIFU C GROUP LTD,凱富能源,50 金融,509 證券/融資,0
0008.HK,0008,PCCW LTD,電訊盈科,40 電訊,401 本地電訊,0
0009.HK,0009,CHEUNG WO INTERNATIONAL HOLD,長和國際實業,36 傳理,362 影視娛樂,0
0010.HK,0010,HANG LUNG GROUP LTD,恒隆集團,60 地產建築,603 地產發展,0
0011.HK,0011,HANG SENG BANK LTD,恒生銀行,50 金融,508 銀行,0
0012.HK,0012,HENDERSON LAND DEVELOPMENT,恒基地產,60 地產建築,603 地產發展,0
0013.HK,0013,HUTCHISON WHAMPOA LTD,和記黃埔,80 綜合企業,800 綜合企業,0
0014.HK,0014,HYSAN DEVELOPMENT CO,希慎興業,60 地產建築,603 地產發展,0
0015.HK,0015,VANTAGE INTERNATIONAL,盈信控股,60 地產建築,606 建築相關,0
0016.HK,0016,SUN HUNG KAI PROPERTIES,新鴻基地產,60 地產建築,603 地產發展,0
0017.HK,0017,NEW WORLD DEVELOPMENT,新世界發展,60 地產建築,603 地產發展,0
0018.HK,0018,ORIENTAL PRESS GROUP,東方報業,36 傳理,360 媒體/娛樂/文化/出版,0
0019.HK,0019,SWIRE PACIFIC LTD-A,太古A,80 綜合企業,800 綜合企業,0
0020.HK,0020,WHEELOCK & CO LTD,會德豐,60 地產建築,603 地產發展,0
0021.HK,0021,GREAT CHINA PROPERTIES HOLDI,大中華地產控股,60 地產建築,602 地產投資,0
0022.HK,0022,MEXAN LTD,茂盛控股,30 消費者服務業,303 旅遊酒店,0
0023.HK,0023,BANK OF EAST ASIA,東亞銀行,50 金融,508 銀行,0
0024.HK,0024,BURWILL HOLDINGS LTD,寶威控股,10 原材料,101 有色金屬及礦石,0
0025.HK,0025,CHEVALIER INTERNATIONAL-NEW,其士國際,60 地產建築,606 建築相關,0
0026.HK,0026,CHINA MOTOR BUS CO,中華汽車,60 地產建築,602 地產投資,0
0027.HK,0027,GALAXY ENTERTAINMENT GROUP L,銀河娛樂,32 博彩,322 澳門博彩,0
0028.HK,0028,TIAN AN CHINA INVESTMENT,天安,60 地產建築,600 內房,0
0029.HK,0029,DYNAMIC HOLDINGS LTD.,達力集團,60 地產建築,600 內房,0
0030.HK,0030,ABC COMMUNICATIONS HLDGS LTD,佳訊控股,70 資訊科技,704 科技軟件,0
0031.HK,0031,CHINA AEROSPACE INTL HLDG,航天控股,70 資訊科技,709 衛星航天股,0
0032.HK,0032,CROSS-HARBOUR HOLDINGS LTD,港通控股,18 運輸、物流及基建,183 倉儲/物流/運輸,0
0033.HK,0033,HARMONIC STRAIT FINANCIAL HO,和協海峽金融集團,30 消費者服務業,304 進出口貿易,0
0034.HK,0034,KOWLOON DEVELOPMENT CO LTD,九龍建業,60 地產建築,603 地產發展,0
0035.HK,0035,FAR EAST CONSORTIUM INTERNAT,遠東發展,60 地產建築,603 地產發展,0
0036.HK,0036,FAR EAST HOLDINGS INTL LTD,遠東控股國際,80 綜合企業,800 綜合企業,0
0037.HK,0037,FAR EAST HOTELS & ENT LTD,遠東酒店實業,30 消費者服務業,303 旅遊酒店,0
0038.HK,0038,FIRST TRACTOR CO-H,第一拖拉機,14 工業,143 機械設備,0
0039.HK,0039,SINO DISTILLERY GROUP LTD,中國釀酒集團,24 飲食相關,244 酒類飲品,0
0040.HK,0040,GOLD PEAK IND,金山工業,20 消費品製造,205 電子消費品,0
