symbol,code,name,sector[shareinvestor : sg : daily]
.STI,STI,STRAITS TIMES INDEX,Index,Index
.FTFSTAS,FSTAS,FTSE ST ALL-SHARE INDEX,Index,Index
.FTFSTAS0001,FSTAS0001,FTSE ST OIL & GAS INDEX,Index,Index
.FTFSTAS1000,FSTAS1000,FTSE ST BASIC MATERIALS INDEX,Index,Index
.FTFSTAS2000,FSTAS2000,FTSE ST INDUSTRIALS INDEX,Index,Index
.FTFSTAS3000,FSTAS3000,FTSE ST CONSUMER GOODS INDEX,Index,Index
.FTFSTAS4000,FSTAS4000,FTSE ST HEALTH CARE INDEX,Index,Index
.FTFSTAS5000,FSTAS5000,FTSE ST CONSUMER SERVICES INDEX,Index,Index
.FTFSTAS6000,FSTAS6000,FTSE ST TELECOMMUNICATIONS INDEX,Index,Index
.FTFSTAS7000,FSTAS7000,FTSE ST UTILITIES INDEX,Index,Index
.FTFSTAS8000,FSTAS8000,FTSE ST FINANCIALS INDEX,Index,Index
.FTFSTAS8600,FSTAS8600,FTSE ST REAL ESTATE INDEX,Index,Index
.FTFSTAS8630,FSTAS8630,FTSE ST REAL ESTATE HOLDING AND DEVELOPMENT INDEX,Index,Index
.FTFSTAS8670,FSTAS8670,FTSE ST REAL ESTATE INVESTMENT TRUSTS INDEX,Index,Index
.FTFSTAS9000,FSTAS9000,FTSE ST TECHNOLOGY INDEX,Index,Index
.FTFSTAM,FSTAM,FTSE ST MARITIME INDEX,Index,Index
.FTFSTC,FSTC,FTSE ST CHINA INDEX,Index,Index
.FTFSTCT,FSTCT,FTSE ST CHINA TOP INDEX,Index,Index
.FTFSTF,FSTF,FTSE ST FLEDGLING INDEX,Index,Index
.FTFSTICA,FSTICA,FTSE ST CATALIST INDEX,Index,Index
.FTFSTM,FSTM,FTSE ST MID CAP INDEX,Index,Index
.FTFSTS,FSTS,FTSE ST SMALL CAP INDEX,Index,Index
1A0.SI,1A0,Katrina Group Ltd.,Hotels | Restaurants and Leisure,Consumer Services
1A1.SI,1A1,Wong Fong Industries Limited,Machinery,Capital Goods
1A4.SI,1A4,AGV Group Limited,Metals and Mining,Materials
1B0.SI,1B0,mm2 Asia Ltd.,Media,Media
1B1.SI,1B1,HC Surgical Specialists Limited,Healthcare Providers and Services,Healthcare Equipment and Services
40B.SI,40B,SMJ International Holdings Ltd.,Distributors,Retailing
40D.SI,40D,Starburst Holdings Limited,Aerospace and Defense,Capital Goods
40E.SI,40E,Spackman Entertainment Group Limited,Media,Media
40F.SI,40F,Alliance Mineral Assets Limited,Metals and Mining,Materials
40I.SI,40I,Terratech Group Limited,Metals and Mining,Materials
40N.SI,40N,Versalink Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
40R.SI,40R,Serrano Limited,Building Products,Capital Goods
40S.SI,40S,Perennial Real Estate Holdings Limited,Real Estate Management and Development,Real Estate
