symbol,code,name,sector[yahoo : us : daily]
AAL,AAL,American Airlines Group Inc.,Services,519.47
AAN,AAN,Aaron's Inc.,Services,72.61
AAP,AAP,Advance Auto Parts Inc.,Services,73.58
AAPL,AAPL,Apple Inc.,Consumer Goods,5490
ABAC,ABAC,Aoxin Tianli Group Inc.,Consumer Goods,7.89
ABBV,ABBV,AbbVie Inc.,Healthcare,1630
ABC,ABC,AmerisourceBergen Corporation,Services,226
ABMD,ABMD,ABIOMED Inc.,Healthcare,42.88
ACC,ACC,American Campus Communities Inc.,Financial,136.11
ACCO,ACCO,ACCO Brands Corporation,Consumer Goods,106.79
ACH,ACH,Aluminum Corporation Of China Limited(中国铝业),Basic Materials,742.9
ACHC,ACHC,Acadia Healthcare Company Inc.,Healthcare,86.47
ACN,ACN,Accenture plc,Technology,631.29
ACOR,ACOR,Acorda Therapeutics Inc.,Healthcare,45.38
ACTS,ACTS,Actions Semiconductor Co. Ltd.(炬力),Technology,44.08
ADP,ADP,Automatic Data Processing Inc.,Technology,452.3
ADS,ADS,Alliance Data Systems Corporation,Services,57.08
ADSW,ADSW,Advanced Disposal Services Inc.,Industrial Goods,88.27
ADXS,ADXS,Advaxis Inc.,Healthcare,39.22
AEE,AEE,Ameren Corporation,Utilities,248.98
AEL,AEL,American Equity Investment Life Holding Company,Financial,86.26
AEO,AEO,American Eagle Outfitters Inc.,Services,173.66
AEP,AEP,American Electric Power Co. Inc.,Utilities,504.14
AET,AET,Aetna Inc.,Healthcare,351.4
AFL,AFL,Aflac Incorporated,Financial,398.91
AFSI,AFSI,AmTrust Financial Services Inc.,Financial,168.22
AGCO,AGCO,AGCO Corporation,Industrial Goods,79.93
AGEN,AGEN,Agenus Inc.,Healthcare,82.95
AGO,AGO,Assured Guaranty Ltd.,Financial,131.9
AGU,AGU,Agrium Inc.,Basic Materials,133.87
AHT,AHT,Ashford Hospitality Trust Inc.,Financial,97.95
AIRM,AIRM,Air Methods Corp.,Services,34.79
AIV,AIV,Apartment Investment and Management Company,Financial,161.53
AJG,AJG,Arthur J Gallagher & Co.,Financial,177.6
AKAM,AKAM,Akamai Technologies Inc.,Technology,175.54
AKRX,AKRX,Akorn Inc.,Healthcare,127.28
AL,AL,Air Lease Corporation,Services,100.33
ALGN,ALGN,Align Technology Inc.,Healthcare,80.29
ALJ,ALJ,Alon USA Energy Inc.,Basic Materials,71.77
ALK,ALK,Alaska Air Group Inc.,Services,123.15
ALL,ALL,The Allstate Corporation,Financial,371.5
ALLY,ALLY,Ally Financial Inc.,Financial,482.39
ALN,ALN,American Lorain Corporation(绿润集团),Consumer Goods,38.24
ALR,ALR,Alere Inc.,Healthcare,87.75
ALSN,ALSN,Allison Transmission Holdings Inc.,Consumer Goods,166.9
ALXN,ALXN,Alexion Pharmaceuticals Inc.,Healthcare,224.74
AMAG,AMAG,AMAG Pharmaceuticals Inc.,Healthcare,34.09
AMAT,AMAT,Applied Materials Inc.,Technology,1120
AMBA,AMBA,Ambarella Inc.,Technology,32.56
AMC,AMC,AMC Entertainment Holdings Inc.(AMC院线),Services,97.44
AMCF,AMCF,Andatee China Marine Fuel Services Corporation,Basic Materials,10.26
AMCN,AMCN,AirMedia Group Inc.(航美传媒),Services,62.82
AMCX,AMCX,AMC Networks Inc.,Services,70.54
AME,AME,Ametek Inc.,Industrial Goods,231.89
AMG,AMG,Affiliated Managers Group Inc.,Financial,51.7
AMGN,AMGN,Amgen Inc.,Healthcare,747
AMN,AMN,AMN Healthcare Services Inc AMN,Healthcare,48.05
AMP,AMP,Ameriprise Financial Inc.,Financial,164
AMPH,AMPH,Amphastar Pharmaceuticals Inc.,Healthcare,45.34
AMSG,AMSG,AmSurg Corp.,Healthcare,54.39
AMT,AMT,American Tower Corporation,Financial,439.82
AMTD,AMTD,TD Ameritrade Holding Corporation,Financial,517.42
AN,AN,AutoNation Inc.,Services,99.04
ANET,ANET,Arista Networks Inc.,Technology,69.79
ANTM,ANTM,Anthem Inc.,Healthcare,263.2
AON,AON,Aon plc,Financial,267.5
AOS,AOS,AO Smith Corp.,Industrial Goods,171.86
APD,APD,Air Products and Chemicals Inc.,Basic Materials,217.2
APH,APH,Amphenol Corporation,Technology,312.56
APLE,APLE,Apple Hospitality REIT Inc.,Financial,225.54
APWC,APWC,Asia Pacific Wire & Cable Corp. Ltd.(亚太电线电缆),Industrial Goods,14.6
AR,AR,Antero Resources Corporation,Basic Materials,320.25
ARAY,ARAY,Accuray Incorporated,Healthcare,81.58
ARI,ARI,Apollo Commercial Real Estate Finance Inc.,Financial,80.89
ARMK,ARMK,Aramark,Services,249.61
ARRS,ARRS,ARRIS International plc,Technology,186.65
ARRY,ARRY,Array BioPharma Inc.,Healthcare,163.03
ASB,ASB,Associated Banc-Corp,Financial,148.71
ASML,ASML,ASML Holding NV,Technology,444.36
ASX,ASX,Advanced Semiconductor Engineering Inc.(日月光半导体),Technology,1600
ATAI,ATAI,ATA Inc.(ATA公司),Services,22.59
ATHM,ATHM,Autohome Inc.(汽车之家),Technology,112.67
ATV,ATV,Acorn International Inc.(橡果国际),Services,4.52
ATVI,ATVI,Activision Blizzard Inc.,Technology,771.06
ATW,ATW,Atwood Oceanics Inc.,Basic Materials,63.76
AU,AU,AngloGold Ashanti Ltd.,Basic Materials,460.15
AUO,AUO,AU Optronics Corp.(友达光电),Technology,988.13
AVB,AVB,AvalonBay Communities Inc.,Financial,139.61
AVG,AVG,AVG Technologies N.V.,Technology,50.73
AVGO,AVGO,Broadcom Limited,Technology,410.29
AVY,AVY,Avery Dennison Corporation,Consumer Goods,89.95
AWI,AWI,Armstrong World Industries Inc.,Industrial Goods,53.93
AWK,AWK,American Water Works Company Inc.,Utilities,181.06
AXL,AXL,American Axle & Manufacturing Holdings Inc.,Consumer Goods,78.24
AXP,AXP,American Express Company,Financial,920
AZPN,AZPN,Aspen Technology Inc.,Technology,78.01
BA,BA,The Boeing Company,Industrial Goods,632.7
BABA,BABA,Alibaba Group Holding Limited(阿里巴巴),Services,2540
BAC,BAC,Bank of America Corporation,Financial,10250
BAH,BAH,Booz Allen Hamilton Holding Corporation,Services,149.52
BANC,BANC,Banc of California Inc.,Financial,49.03
BBBY,BBBY,Bed Bath & Beyond Inc.,Services,149.73
BBD,BBD,Banco Bradesco S.A.,Financial,6410
BBT,BBT,BB&T Corporation,Financial,812.52
BC,BC,Brunswick Corporation,Consumer Goods,91.1
BCE,BCE,BCE Inc.,Technology,897.59
BCRX,BCRX,BioCryst Pharmaceuticals Inc.,Healthcare,72.98
BDN,BDN,Brandywine Realty Trust,Financial,179.33
BEAV,BEAV,B/E Aerospace Inc.,Industrial Goods,102.67
BECN,BECN,Beacon Roofing Supply Inc.,Industrial Goods,59.62
BEN,BEN,Franklin Resources Inc.,Financial,585.86
BERY,BERY,Berry Plastics Group Inc.,Consumer Goods,124.78
BF-B,BF-B,Brown-Forman Corporation,Consumer Goods,405.05
BGCP,BGCP,BGC Partners Inc.,Financial,272.28
BGNE,BGNE,BeiGene Ltd.,Healthcare,30.97
BGS,BGS,B&G Foods Inc.,Consumer Goods,69.71
BIDU,BIDU,Baidu Inc.(百度),Technology,357.93
BIIB,BIIB,Biogen Inc.,Healthcare,218.9
BITA,BITA,Bitauto Holdings Limited(易车网),Technology,71.98
BK,BK,The Bank of New York Mellon Corporation,Financial,1060
BKS,BKS,Barnes & Noble Inc.,Services,69.87
BKU,BKU,BankUnited Inc.,Financial,103
BLDR,BLDR,Builders FirstSource Inc.,Industrial Goods,111.19
BLK,BLK,BlackRock Inc.,Financial,159.23
BLMN,BLMN,Bloomin' Brands Inc.,Services,109.4
BMO,BMO,Bank of Montreal,Financial,644.24
BMS,BMS,Bemis Company Inc.,Consumer Goods,94.95
BNS,BNS,The Bank of Nova Scotia,Financial,1210
BNSO,BNSO,Bonso Electronics International Inc.(恒异电子),Industrial Goods,4.97
BOFI,BOFI,BofI Holding Inc.,Financial,58.62
BORN,BORN,China New Borun Corporation(博润),Consumer Goods,25.77
BPL,BPL,Buckeye Partners L.P.,Basic Materials,141.38
BPOP,BPOP,Popular Inc.,Financial,103.3
BR,BR,Broadridge Financial Solutions Inc.,Technology,121.27
BRCD,BRCD,Brocade Communications Systems Inc.,Technology,401.85
BRFS,BRFS,BRF S.A.,Consumer Goods,909.59
BRKR,BRKR,Bruker Corporation,Healthcare,156.87
BRO,BRO,Brown & Brown Inc.,Financial,137.72
BRX,BRX,Brixmor Property Group Inc.,Financial,310.52
BSMX,BSMX,Grupo Financiero Santander Mexico S.A.B. de C.V.,Financial,1670
BSPM,BSPM,Biostar Pharmaceuticals Inc.(奥星制药),Healthcare,2.28
BSX,BSX,Boston Scientific Corporation,Healthcare,1360
BT,BT,BT Group plc,Technology,2029.9999999999998
BTI,BTI,British American Tobacco p.l.c.,Consumer Goods,975.81
BUD,BUD,Anheuser-Busch InBev SA/NV,Consumer Goods,1770
BURL,BURL,Burlington Stores Inc.,Services,71.73
BWA,BWA,BorgWarner Inc.,Consumer Goods,212.87
BWXT,BWXT,BWX Technologies Inc.,Industrial Goods,99.61
BX,BX,The Blackstone Group L.P.,Financial,1150
