40A.SI,40A,IPS Securex,--
40B.SI,40B,SMJ Intl,--
40D.SI,40D,Starburst,--
40E.SI,40E,Spackman,--
40F.SI,40F,Alliance Mineral,--
40I.SI,40I,Terratech,--
40N.SI,40N,Versalink,--
40R.SI,40R,Serrano,--
40S.SI,40S,Perennial Hldgs,--
40T.SI,40T,ISEC,--
40U.SI,40U,MS Hldgs,--
40V.SI,40V,Singapore-eDev,--
40W.SI,40W,ZICO Hldgs,--
41A.SI,41A,UG Healthcare,--
41B.SI,41B,Huationg Global,--
41C.SI,41C,MM2 Asia,--
500.SI,500,Tai Sin Electric,--
502.SI,502,3Cnergy,--
504.SI,504,KLW,--
505.SI,505,AsiaMedic,--
508.SI,508,Fuji Offset,--
510.SI,510,Hiap Seng,--
519.SI,519,Top Global,--
526.SI,526,HG Metal,--
528.SI,528,Second Chance,--
530.SI,530,Cedar Strategic,--
532.SI,532,Equation,--
533.SI,533,ABR,--
535.SI,535,VibroPower,--
539.SI,539,CPH,--
540.SI,540,Tung Lok Rest,--
541.SI,541,Craft Print,--
542.SI,542,Giken Sakata,--
543.SI,543,Noel Gifts Intl,--
544.SI,544,CSE Global,--
545.SI,545,Vallianz,--
546.SI,546,Medtecs Intl,--
547.SI,547,Nobel Design,--
552.SI,552,Qian Hu,--
554.SI,554,King Wan,--
557.SI,557,Viking Offshore,--
558.SI,558,UMS,--
560.SI,560,Aztech,--
561.SI,561,Teckwah,--
564.SI,564,Spindex Ind,--
566.SI,566,SHS,--
567.SI,567,Colex,--
568.SI,568,Baker Technology,--
569.SI,569,Vicplas Intl,--
570.SI,570,Transit Concrete,--
571.SI,571,IP Softcom,--
573.SI,573,Challenger,--
574.SI,574,TSH,--
575.SI,575,ASTI,--
576.SI,576,Magnus Energy,--
578.SI,578,KS Energy,--
579.SI,579,Oceanus,--
580.SI,580,Santak,--
581.SI,581,ITE Electric,--
583.SI,583,Progen,--
584.SI,584,OEL,--
585.SI,585,Asian Micro,--
586.SI,586,TMC Education,--
587.SI,587,Lereno Bio-Chem,--
588.SI,588,HMI,--
591.SI,591,Innovalues,--
593.SI,593,Lee Metal,--
594.SI,594,Loyz Energy,--
595.SI,595,GKE,--
596.SI,596,Pavillon,--
5AB.SI,5AB,Trek 2000 Intl,--
5AC.SI,5AC,NH Ceramics,--
5AE.SI,5AE,Pollux Prop,--
5AI.SI,5AI,Sunlight,--
5AL.SI,5AL,Annica,--
5AM.SI,5AM,Asiatravel.com,--
5AU.SI,5AU,AP Oil,--
5BA.SI,5BA,Vashion,--
5BI.SI,5BI,Polaris,--
5BK.SI,5BK,Koda,--
5BM.SI,5BM,MFS Tech,--
5BS.SI,5BS,PNE Micron,--
5CB.SI,5CB,Darco Water Tech,--
5CF.SI,5CF,OKP,--
5CH.SI,5CH,DMX Technologies,--
5CJ.SI,5CJ,Chinese Global,--
5CN.SI,5CN,Sinwa,--
5CP.SI,5CP,Silverlake Axis,--
5CQ.SI,5CQ,Tech Oil &amp; Gas,--
5CR.SI,5CR,Asiatic,--
5CT.SI,5CT,EcoWise,--
5DA.SI,5DA,BreadTalk,--
5DD.SI,5DD,Micro-Mechanics,--
5DE.SI,5DE,EMS Energy,--
5DL.SI,5DL,Koon,--
5DM.SI,5DM,Ying Li Intl,--
5DN.SI,5DN,Ezra,--
5DO.SI,5DO,Sakae,--
5DP.SI,5DP,Heeton,--
5DS.SI,5DS,MegaChem,--
5DW.SI,5DW,Renewable Energy,--
5DX.SI,5DX,Metal Component,--
5EB.SI,5EB,CFM,--
5EC.SI,5EC,ISR Capital,--
5EF.SI,5EF,Adventus,--
5EG.SI,5EG,Zhongxin Fruit,--
5EK.SI,5EK,Armarda,--
5EL.SI,5EL,Lasseters Intl,--
5EN.SI,5EN,Midas,--
5ER.SI,5ER,Best World,--
5ET.SI,5ET,Asiasons Capital,--
5EV.SI,5EV,Hosen,--
5EW.SI,5EW,Pan Asian,--
5F4.SI,5F4,Figtree,--
5F7.SI,5F7,Wilton Resources,--
5FA.SI,5FA,JEP,--
5FH.SI,5FH,Advance SCT,--
5FI.SI,5FI,Oriental,--
5FL.SI,5FL,Falcon Energy,--
5FQ.SI,5FQ,Select,--
5FR.SI,5FR,Envictus,--
5FW.SI,5FW,Linair Tech,--
5FX.SI,5FX,New Wave,--
5G1.SI,5G1,EuroSports Gbl,--
5G2.SI,5G2,KimHeng Offshore,--
5G3.SI,5G3,TalkMed,--
5G4.SI,5G4,Infinio,--
5G9.SI,5G9,Tritech,--
5GB.SI,5GB,SIIC Environment,--
5GC.SI,5GC,CNA,--
5GD.SI,5GD,Sunpower,--
5GF.SI,5GF,Nico Steel,--
5GI.SI,5GI,Interra Resource,--
5GJ.SI,5GJ,AusGroup,--
5GZ.SI,5GZ,AA,--
5H0.SI,5H0,SingHaiyi,--
5HC.SI,5HC,Ntegrator Intl,--
5HG.SI,5HG,Edition,--
5HH.SI,5HH,Sinjia Land,--
5HJ.SI,5HJ,Cityneon,--
5HT.SI,5HT,Comm Design,--
5HV.SI,5HV,Koh Eco,--
5I0.SI,5I0,QT Vascular,--
