date,transaction,volume,amount,pe,market value,negotiable value,exchange rate
1999-01-04,18.6166,12203.6008,11.6213124,33.138,10431.05161929,2897.0103302,0.3212
1999-01-05,25.3228,16559.7312,15.39226356,,10378.38891957,2886.11854227,0.4356
1999-01-06,27.1075,20439.1411,19.65295423,33.321,10494.11376645,2920.96727289,0.5377
1999-01-07,33.5221,23044.5855,22.52123883,33.755,10566.34074506,2944.65968574,0.6052
1999-01-08,43.3531,31730.1541,32.6037348,34.678,10854.04786872,3021.53113037,0.8333
1999-01-11,37.9527,26980.8303,29.31034239,,10888.8936501,3029.37303519,0.7086
1999-01-12,41.6313,30448.0868,33.46021397,34.384,10763.13644058,2999.80082389,0.7989
1999-01-13,39.7385,29746.9005,30.35515995,34.073,10665.49760024,2974.75369526,0.7803
1999-01-14,31.2673,23610.6122,23.90041796,34.105,10669.20474936,2975.79395321,0.6193
1999-01-15,41.743,31432.8306,31.64482616,33.775,10575.32606933,2951.32489428,0.8235
1999-01-18,44.6382,33168.5476,33.79570185,34.252,10723.98838571,3002.37788069,0.8665
1999-01-19,48.6308,34856.5491,34.72683659,34.408,10788.04845618,3021.10495237,0.909
1999-01-20,33.9066,25558.517,24.63827687,34.192,10720.89816042,2997.28188736,0.6665
1999-01-21,35.7322,27271.125,26.52448925,34.402,10787.66957818,3018.0472003,0.7112
1999-01-22,47.8416,37485.0103,36.0459693,33.411,10821.99250219,3019.85808022,0.9775
1999-01-25,44.5629,32625.4507,29.15820878,33.008,10719.47536946,2986.2037129,0.8486
1999-01-26,35.308,27161.2468,25.47779286,32.722,10627.28043948,2962.46183882,0.7065
1999-01-27,34.872,28186.7723,25.33490764,32.94,10702.77772715,2982.69838475,0.7331
1999-01-28,47.6884,35747.0263,34.09020379,32.776,10662.33599613,2975.97078541,0.9282
1999-01-29,39.4635,29931.6614,28.34648893,32.585,10609.78687813,2963.78419948,0.7766
1999-02-01,37.7205,26887.2679,25.38582781,32.176,10478.19629086,2931.41062614,0.6973
1999-02-02,29.6844,22843.99,21.98951033,32.338,10532.98101473,2947.24315397,0.5921
1999-02-03,31.8445,23220.8339,22.51160958,32.044,10511.84370557,2940.06922351,0.5992
1999-02-04,31.5065,22895.8941,21.16437276,31.655,10385.62121966,2901.73294317,0.5909
1999-02-05,34.5431,23816.0798,22.17084974,31.032,10180.6504333,2845.54299429,0.6144
1999-02-08,30.4065,21268.1672,19.15979061,30.586,10035.00404683,2808.62341217,0.5485
1999-02-09,27.3752,20528.2023,18.05294775,,10259.22104688,2872.51483131,0.5294
1999-03-01,23.3323,18196.2227,15.73510617,31.466,10332.06964723,2888.26044799,0.4692
1999-03-02,29.7639,24175.3259,20.75631097,31.543,10364.13761294,2891.64882917,0.6231
1999-03-03,45.0167,38036.8842,31.83463132,32.335,10625.68092983,2964.58537629,0.9803
1999-03-04,45.1396,35627.1908,31.21497122,32.329,10629.58500479,2968.98902232,0.9176
1999-03-05,43.2852,35756.9179,30.71186186,32.432,10665.42944155,2980.40601448,0.9197
1999-03-08,44.3974,35351.9358,31.04663752,32.707,10757.61143262,3006.3351966,0.9078
1999-03-09,49.6111,41756.81,40.02903187,32.567,10708.94708795,2995.6009894,1.072
