date,transaction,volume,amount,pe,market value,negotiable value,exchange rate
2002-12-31,899.6334,891445.0000000001,1560.4775,36.96,12965.4061,5017.2578,
2003-01-29,1288.3333,1367420,1115.6766,39.84,14244.566799999999,5521.6122,
2003-02-28,733.9457,735401,645.6632,40.55,14380.523700000002,5562.595,
2003-03-31,884.6558,905034,818.6859,39.00,14129.173700000001,5465.9974,
2003-04-30,2066.5445,2415168,2189.8729000000003,39.55,13784.0999,5378.4048,
2003-05-30,1290.853,1469804,1439.6926999999998,41.54,14505.536100000001,5646.263000000001,
2003-06-30,1078.4314,1165922,996.8675,38.35,13364.3199,5202.9269,
2003-07-31,937.6706,1025692,860.8278999999999,37.77,13151.9798,5149.9972,
2003-08-29,709.241,725594,589.8095,36.86,12836.284099999999,5034.6897,
2003-09-30,678.2216,708892,536.1766,35.19,12416.3555,4838.5223,
2003-10-31,673.2729,826820.9999999999,579.0619,34.43,12099.5368,4743.5083,
2003-11-28,1143.3932,1441102,958.7428,35.24,12351.4521,4851.1157,
2003-12-31,1520.312,1916703,1420.5226,36.19,12652.794,4977.3765,
2004-01-30,1142.294,1518981,1164.5681,37.41,13699.035800000001,5394.5387,
2004-02-27,2657.8984,3467976.9999999995,2743.7768,39.17,14982.893799999998,5879.4367,
2004-03-31,2200.1963,2681346,2263.0308,36.33,15518.0618,6076.6497,
2004-04-30,1977.0587,2471071,2039.7307999999998,30.88,13726.4319,5381.3981,
2004-05-31,755.8369,925762.9999999999,667.7825,30.35,13452.7455,5301.8547,
2004-06-30,1068.1056,1306850,937.3939999999999,27.15,12056.3354,4731.73,
2004-07-30,1113.689,1378116,1016.1842,27.22,12118.8638,4761.049,
2004-08-31,905.8755,1111770,760.5111999999999,25.82,11559.3129,4536.6366,
2004-09-30,1626.7325,2373421,1576.9558,27.57,12363.9735,4856.3943,
2004-10-29,1190.5089,1673638,1194.3685,26.08,11693.3397,4585.5925,
