STI.SI,STRAITS TIMES INDEX (STI)
FSTAS.SI,FTSE ST ALL-SHARE INDEX
FSTAS0001.SI,FTSE ST OIL &AMP; GAS INDEX
FSTAS1000.SI,FTSE ST BASIC MATERIALS INDEX
FSTAS2000.SI,FTSE ST INDUSTRIALS INDEX
FSTAS3000.SI,FTSE ST CONSUMER GOODS INDEX
FSTAS4000.SI,FTSE ST HEALTH CARE INDEX
FSTAS5000.SI,FTSE ST CONSUMER SERVICES INDEX
FSTAS6000.SI,FTSE ST TELECOMMUNICATIONS INDEX
FSTAS7000.SI,FTSE ST UTILITIES INDEX
FSTAS8000.SI,FTSE ST FINANCIALS INDEX
FSTAS8600.SI,FTSE ST REAL ESTATE INDEX
FSTAS8630.SI,FTSE ST REAL ESTATE HOLDING AND DEVELOPMENT INDEX
FSTAS8670.SI,FTSE ST REAL ESTATE INVESTMENT TRUSTS INDEX
FSTAS9000.SI,FTSE ST TECHNOLOGY INDEX
FSTAM.SI,FTSE ST MARITIME INDEX
FSTC.SI,FTSE ST CHINA INDEX
FSTCT.SI,FTSE ST CHINA TOP INDEX
FSTF.SI,FTSE ST FLEDGLING INDEX
FSTICA.SI,FTSE ST CATALIST INDEX
FSTM.SI,FTSE ST MID CAP INDEX
FSTS.SI,FTSE ST SMALL CAP INDEX
502.SI,3CNERGY
5TG.SI,800 SUPER
AZG.SI,8TELECOM
AWQ.SI,A-SONIC AERO
5GZ.SI,AA
TF7.SI,AAT
533.SI,ABR
L5I.SI,ABTERRA
ADQU.SI,ACCORDIA
A75.SI,ACE ACHIEVE INFO
AYV.SI,ACMA LTD
A59.SI,ACTION ASIA
A31.SI,ADDVALUE TECH
5FH.SI,ADVANCE SCT^
5IA.SI,ADVANCED
5TY.SI,ADVANCED SYSTEMS
5EF.SI,ADVENTUS
AWG.SI,AEI
AWX.SI,AEM HLDG
AXH.SI,AIM
A0P.SI,AIMS PROPERTY
O5RU.SI,AIMSAMP CAP REIT
5IB.SI,ALBEDO
S91.SI,ALI PICTURES HKD
40F.SI,ALLIANCE MINERAL
A13.SI,ALLIED TECH^
